idx,title,desc,org_link,pDate
49,"경북독립운동기념관, 3.1절 특별 개관 행사",또한 경상북도 <b>김진현</b> 복지건강국장은 &quot;제102주년 3‧1절을 맞아 경상북도독립운동기념관에서 가족과 함께 독립운동가들의 삶과 정신을 되돌아보고 나라사랑과 호국안보의 소중함을 공유하는 장이 되길 바라며... ,,2021-02-26 16:55:00
50,[인사] 건설공제조합,◇ 임원 선임 ▲ 보증공제본부장 <b>김진현</b> ▲ 경영지원본부장 김창용,,2021-02-26 15:35:00
51,"건설공제조합, 보증공제본부장에 <b>김진현</b> 씨 선임",건설공제조합이 신임 임원으로 <b>김진현</b> 여의도지점장과 김창용 종로지점장을 선임했다고 26일 밝혔다. <b>김진현</b> 신임 보증공제본부장은 1990년 건설공제조합에 입사해 종로지점장과 경영지원실장 등을 역임했다. 김창용... ,,2021-02-26 15:27:00
52,&lt;인사&gt; 건설공제조합,◇ 임원 선임△보증공제본부장 <b>김진현</b> △경영지원본부장 김창용 황의중,,2021-02-26 14:40:00
53,"건설공제조합, 신임 본부장에 <b>김진현</b>·김창용씨 선임","건설공제조합(이사장 최영묵)은 신임 임원으로 <b>김진현</b> 여의도지점장과 김창용 종로지점장을 선임했다고 26일 밝혔다. <b>김진현</b> 신임 보증공제본부장은 1990년 입사해 종로지점장, 경영지원실장 등을 역임했다. 또 김창용... ",,2021-02-26 14:29:00
54,&lt;오늘의 인사&gt;,보증공제본부장 <b>김진현</b> ▷ 경영지원본부장 김창용 ◇외교부 △ 총영사 ▷ 주이스탄불총영사 우성규 ◇아주대·아주대의료원 △ 아주대 ▷ 사회과학대학장 김동근 ▷ 다산학부대학장 송하석 ▷ 정보통신대학원장 겸... ,,2021-02-26 14:22:00
55,[인사] 건설공제조합,◇ 임원 선임 ▲ 보증공제본부장 <b>김진현</b> ▲ 경영지원본부장 김창용,,2021-02-26 14:00:00
56,"건설공제조합, 신임 본부장으로 <b>김진현</b>·김창용 선임","건설공제조합이 신임 임원으로 <b>김진현</b> 여의도지점장과 김창용 종로지점장을 선임했다고 26일 밝혔다. <b>김진현</b> 신임 보증공제본부장은 1990년 입사해 종로지점장, 경영지원실장 등을 역임했으며, 김창용 신임... ",,2021-02-26 13:46:00
57,[인사] 교육부·과기정통부·외교부 등,선임 ▲보증공제본부장 <b>김진현</b> ▲경영지원본부장 김창용 ■ 외교부 ◇총영사 ▲주이스탄불총영사 우성규 ■ 동아대 ▲국제대학장 김종현 ▲컴퓨터·AI공학부장 조장우 ■ 제주대 ▲사라캠퍼스 부총장 겸 교육대학장... ,,2021-02-26 13:35:00
58,"건설공제조합, 신임 본부장에 <b>김진현</b>·김창용 선임",이투데이=정용욱 기자 | 건설공제조합 26일 신임 본부장으로 <b>김진현</b>(왼쪽) 여의도지점장과 김창용(오른쪽) 종로지점장을 선임했다고 밝혔다. (건설공제조합) 건설공제조합은 26일 신임 본부장으로 <b>김진현</b>... ,,2021-02-26 12:33:00
59,[인사] 국토교통부 외,보증공제본부장 <b>김진현</b> ▲ 경영지원본부장 김창용 ■ 한국농촌경제연구원 ◇ 보직 ▲ 부원장 박준기 ▲ 국제농업개발협력센터장 김종선 ■ 통계청 ◇ 일반직 고위공무원 임용 ▲ 통계서비스정책관 공미숙 ◇ 과장급 전보... ,,2021-02-26 12:01:00
60,[인사] 외교부 외,◇ 총영사 ▲ 주이스탄불총영사 우성규 &lt;건설공제조합&gt; ◇ 임원 선임 ▲ 보증공제본부장 <b>김진현</b> ▲ 경영지원본부장 김창용,,2021-02-26 11:47:00
61,"건설공제조합, <b>김진현</b>·김창용 신임 본부장 선임","건설공제조합은 신임 임원으로 <b>김진현</b> 여의도지점장(사진 왼쪽)과 김창용 종로지점장(사진 오른쪽)을 선임했다고 26일 밝혔다. <b>김진현</b> 신임 보증공제본부장은 1990년 입사해 종로지점장, 경영지원실장 등을 역임했다.... ",,2021-02-26 11:34:00
62,"[인사] 건설공제조합, 외교부",◆ 건설공제조합 임원 선임 △보증공제본부장 <b>김진현</b> △경영지원본부장 김창용 ◆ 외교부 총영사 △주이스탄불총영사 우성규,,2021-02-26 11:13:00
